SiteID,Site,Location,Date,Matrix,CHEM_CODE,Parameter,Value,Units,DetectionFlag,ReportingLimit,MDL,REPORTABLE
47,Site 1,ML-1,27-Dec-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-1,27-Dec-06,WG,AS,Arsenic,0.00625,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,CU,Copper,0.04,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,CU,Copper,0.207,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,FE,Iron,0.27,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,FE,Iron,0.494,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,K,Potassium,9,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,MG,Magnesium,16,MG/L,=,,,Y
47,Site 1,ML-1,27-Dec-06,WG,MG,Magnesium,10.1,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,AS,Arsenic,0,MG/L,TR,,,Y
47,Site 1,ML-2,27-Dec-06,WG,AS,Arsenic,0.0177,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,CU,Copper,0.085,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,CU,Copper,0.39,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,FE,Iron,0.12,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,FE,Iron,0.497,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,K,Potassium,14.9,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,MG,Magnesium,56,MG/L,=,,,Y
47,Site 1,ML-2,27-Dec-06,WG,MG,Magnesium,42.9,MG/L,=,,,Y
47,Site 1,ML-1,18-Apr-06,WG,AS,Arsenic,0.1,MG/L,=,,,Y
47,Site 1,ML-1,18-Apr-06,WG,CU,Copper,0.055,MG/L,=,,,Y
47,Site 1,ML-1,18-Apr-06,WG,FE,Iron,0.165,MG/L,=,,,Y
